Name,Count_Ctrl,Count_GDM,Mean_Ctrl,Mean_GDM,P_value_T_PD_vs_Ctrl,Fold_change_PD_vs_Ctrl,Flag_PD_vs_Ctrl
Cer+(d18:0/22:0),93,45,16.251,16.263,0.989,0.011,0
Cer+(d18:0/24:0),93,45,16.615,16.626,0.998,0.006,0
Cer+(d18:0/24:1),93,45,16.395,16.419,0.961,0.027,0
Cer+(d18:1/23:0),93,45,17.255,17.059,0.023,-0.184,-1
Cer+(d18:1/24:0),93,45,18.721,18.525,0.006,-0.187,-1
Cer+(d18:1/24:1),93,45,17.655,17.544,0.363,-0.093,0
DG(16:0/18:1),93,45,20.123,20.131,0.998,0.007,0
DG(16:0/18:2),93,45,20.093,20.142,0.911,0.042,0
DG(16:0/18:2);DG(16:1/18:1),93,45,20.093,20.142,0.911,0.042,0
DG(18:0/18:1),93,45,17.651,17.638,0.989,-0.014,0
DG(18:0/18:2);DG(18:1/18:1),93,45,20.615,20.647,0.934,0.031,0
DG(18:1/18:1),93,45,20.615,20.647,0.934,0.031,0
DG(18:1/18:2),93,45,21.395,21.449,0.819,0.048,0
DG(18:2/18:2),93,45,19.25,19.37,0.619,0.106,0
DG(18:2/18:2);DG(18:1/18:3),93,45,19.25,19.37,0.619,0.106,0
GalCer+(24:1/d18:1),93,45,16.827,16.691,0.503,-0.109,0
GalCer+(d18:1/22:0),93,45,17.725,17.475,0.015,-0.23,-1
GalCer+(d18:1/24:0),93,45,17.782,17.595,0.067,-0.168,0
GalCer+(d18:1/24:1),93,45,18.276,18.033,0.016,-0.226,-1
PC(0:0/14:0),93,45,15.808,15.494,0.049,-0.32,-1
PC(0:0/16:0),93,45,23.453,23.531,0.643,0.088,0
PC(0:0/18:0),93,45,21.654,21.785,0.404,0.149,0
PC(0:0/18:1),93,45,20.673,20.759,0.633,0.097,0
PC(0:0/20:4),93,45,19.202,19.4,0.457,0.196,0
PC(14:0/16:0),93,45,20.016,19.735,0.005,-0.281,-1
PC(14:0/18:1);PC(16:0/16:1),93,45,22.838,22.508,0.005,-0.317,-1
PC(14:0/18:3),93,45,14.291,14.019,0.146,-0.28,0
PC(14:0/20:4),93,45,18.772,18.553,0.129,-0.216,0
PC(14:0/22:6),93,45,17.196,17.098,0.716,-0.094,0
PC(15:0/0:0),93,45,16.184,16.231,0.877,0.053,0
PC(15:0/18:1);PC(16:0/17:1),93,45,20.233,20.068,0.025,-0.153,-1
PC(15:0/18:2),93,45,20.912,20.816,0.453,-0.08,0
PC(15:0/20:3),93,45,18.652,18.592,0.8,-0.048,0
PC(15:0/20:4),93,45,18.879,18.899,0.979,0.017,0
PC(15:0/22:6),93,45,17.791,17.929,0.296,0.15,0
PC(16:0/16:0),93,45,22.777,22.658,0.03,-0.114,-1
PC(16:0/18:0),93,45,20.434,20.311,0.068,-0.115,0
PC(16:0/18:1),93,45,25.898,25.803,0.127,-0.086,0
PC(16:0/18:2),93,45,26.668,26.585,0.186,-0.075,0
PC(16:0/18:2);PC(16:1/18:1),93,45,26.668,26.585,0.186,-0.075,0
PC(16:0/18:3);PC(18:2/16:1),93,45,21.829,21.541,0.002,-0.276,-1
PC(16:0/19:1),93,45,20.375,20.331,0.792,-0.032,0
PC(16:0/20:1),93,45,23.896,23.774,0.059,-0.112,0
PC(16:0/20:3),93,45,25.164,25.099,0.535,-0.057,0
PC(16:0/20:4),93,45,25.635,25.587,0.669,-0.048,0
PC(16:0/22:4);PC(18:1/20:3),93,45,22.33,22.01,2.74932E-05,-0.312,-1
PC(16:0/22:5);PC(18:1/20:4),93,45,22.627,22.52,0.207,-0.101,0
PC(16:0/22:6),93,45,24.369,24.43,0.528,0.067,0
PC(16:0/O-16:0),93,45,20.21,20.103,0.186,-0.093,0
PC(16:1/0:0),93,45,16.7,16.489,0.206,-0.208,0
PC(16:1/16:1);PC(14:0/18:2);PC(14:0/18:2),93,45,21.014,20.756,0.03,-0.245,-1
PC(16:1/18:2),93,45,21.501,21.279,0.013,-0.21,-1
PC(16:1/20:4),93,45,19.025,18.865,0.16,-0.159,0
PC(16:1/22:6),93,45,17.456,17.415,0.959,-0.026,0
PC(17:0/0:0),93,45,16.85,17.031,0.237,0.201,0
