abbrev,smi
Cer-(d18:0_24:0),[C@](CO)([H])(NC(CCCCCCCCCCCCCCCCCCCCC)=O)[C@]([H])(O)CCCCCCCCCCCCCCC
Cer(d18:1_20:0),[C@](CO)([H])(NC(CCCCCCCCCCCCCCC)=O)[C@]([H])(O)/C=C/CCCCCCCCCCCCC
Cer(d18:1_22:0),[C@](CO)([H])(NC(CCCCCCCCCCCCCCCCCCC)=O)[C@]([H])(O)/C=C/CCCCCCCCCCCCC
Cer(d18:2_22:0),[C@](CO)([H])(NC(CCCCCCCCCCCCCCCCCCCCCCCC)=O)[C@]([H])(O)/C=C/CCCCCCCCCCCCC
Cer+(d18:1_23:0),[C@](CO)([H])(NC(CCCCCCCCCCCCCCCCCCCCCC)=O)[C@]([H])(O)/C=C/CCCCCCCCCCCCC
Cer+(d18:1_24:0),[C@](CO)([H])(NC(CCCCCCCCCCCCCCCCCCCCCCC)=O)[C@]([H])(O)/C=C/CCCCCCCCCCCCC
DG(16:0_18:1),OC[C@]([H])(OC(CCCCCCC/C=C\CCCCCCCC)=O)COC(CCCCCCCCCCCCCCC)=O
DG(18:0_18:1),OC[C@]([H])(OC(CCCCCCC/C=C\CCCCCCCC)=O)COC(CCCCCCCCCCCCCCCCC)=O
DG(18:0_18:2);DG(18:1_18:1),OC[C@]([H])(OC(CCCCCCC/C=C\C/C=C\CCCCC)=O)COC(CCCCCCCCCCCCCCCCC)=O
DG(18:1_18:1),OC[C@]([H])(OC(CCCCCCC/C=C\CCCCCCCC)=O)COC(CCCCCCC/C=C\CCCCCCCC)=O
DG(18:1_18:2),OC[C@]([H])(OC(CCCCCCC/C=C\C/C=C\CCCCC)=O)COC(CCCCCCC/C=C\CCCCCCCC)=O
GalCer-(d18:1_24:0),[C@](CO[C@@H]1O[C@H](CO)[C@H](O)C(O)C1O)([H])(NC(CCCCCCCCCCCCCCCCCCCCCC)=O)[C@]([H])(O)/C=C/CCCCCCCCCCCCC
GalCer+(d18:1_22:0),[C@](CO[C@@H]1OC(CO)[C@H](O)[C@H](O)C1O)([H])(NC(CCCCCCCCCCCCCCCCCCCCC)=O)[C@]([H])(O)/C=C/CCCCCCCCCCCCC
GalCer+(d18:1_24:0),[C@](CO[C@@H]1OC(CO)[C@H](O)[C@H](O)C1O)([H])(NC(CCCCCCCCCCCCCCCCCCCCCCC)=O)[C@]([H])(O)/C=C/CCCCCCCCCCCCC
GalCer+(d18:1_24:1),[C@](CO[C@@H]1OC(CO)[C@H](O)[C@H](O)C1O)([H])(NC(CCCCCCCCCCCCC/C=C\CCCCCCCC)=O)[C@]([H])(O)/C=C/CCCCCCCCCCCCC
PC(0:0_14:0),[C@](COP(=O)([O-])OCC[N+](C)(C)C)([H])(OC(CCCCCCCCCCCCC)=O)CO
PC(0:0_16:0),[C@](COP(=O)([O-])OCC[N+](C)(C)C)([H])(OC(CCCCCCCCCCCCCCC)=O)CO
PC(0:0_18:0),[C@](COP(=O)([O-])OCC[N+](C)(C)C)([H])(OC(CCCCCCCCCCCCCCCCC)=O)CO
PC(0:0_18:1),[C@](COP(=O)([O-])OCC[N+](C)(C)C)([H])(OC(CCCC/C=C\CCCCCCCCCCC)=O)CO
PC(0:0_20:4),[C@](COP(=O)([O-])OCC[N+](C)(C)C)([H])(OC(CCC/C=C\C/C=C\C/C=C\C/C=C\CCCCC)=O)CO
PC(14:0_16:0),[C@](COP(=O)([O-])OCC[N+](C)(C)C)([H])(OC(CCCCCCCCCCCCCCC)=O)COC(CCCCCCCCCCCCC)=O
PC(14:0_18:1);PC(16:0_16:1),[C@](COP(=O)([O-])OCC[N+](C)(C)C)([H])(OC(CCCCCCCCCCCCC)=O)COC(CCCCCCC/C=C\CCCCCCCC)=O
PC(14:0_18:3),[C@](COP(=O)([O-])OCC[N+](C)(C)C)([H])(OC(CCCCCCC/C=C\C/C=C\C/C=C\CC)=O)COC(CCCCCCCCCCCCC)=O
PC(14:0_20:4),[C@](COP(=O)([O-])OCC[N+](C)(C)C)([H])(OC(CCCCCCCCCCCCC)=O)COC(CCCCCC/C=C\C/C=C\C/C=C\C/C=C\CC)=O
PC(14:0_22:6),[C@](COP(=O)([O-])OCC[N+](C)(C)C)([H])(OC(CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC)=O)COC(CCCCCCCCCCCCC)=O
PC(15:0_18:1);PC(16:0_17:1),[C@](COP(=O)([O-])OCC[N+](C)(C)C)([H])(OC(CCCCCCCCC/C=C\CCCCCC)=O)COC(CCCCCCCCCCCCCC)=O
PC(15:0_18:2),[C@](COP(=O)([O-])OCC[N+](C)(C)C)([H])(OC(CCCCCCC/C=C\C/C=C\CCCCC)=O)COC(CCCCCCCCCCCCCC)=O
PC(15:0_20:3),[C@](COP(=O)([O-])OCC[N+](C)(C)C)([H])(OC(CCCCCCCCCCCCCC)=O)COC(CCCCCC/C=C\C/C=C\C/C=C\CCCCC)=O
PC(16:0_16:0),[C@](COP(=O)([O-])OCC[N+](C)(C)C)([H])(OC(CCCCCCCCCCCCCCC)=O)COC(CCCCCCCCCCCCCCC)=O
PC(16:0_18:1),[C@](COP(=O)([O-])OCC[N+](C)(C)C)([H])(OC(CCCCCCCCC/C=C\CCCCCC)=O)COC(CCCCCCCCCCCCCCC)=O
PC(16:0_18:3);PC(18:2_16:1),[C@](COP(=O)([O-])OCC[N+](C)(C)C)([H])(OC(CCCCCCC/C=C\C/C=C\C/C=C\CC)=O)COC(CCCCCCCCCCCCCCC)=O
PC(16:0_20:4),[C@](COP(=O)([O-])OCC[N+](C)(C)C)([H])(OC(CCCCCCCCCCCCCCC)=O)COC(CCC/C=C\C/C=C\C/C=C\C/C=C\CCCCC)=O
PC(16:0_22:4);PC(18:1_20:3),[C@](COP(=O)([O-])OCC[N+](C)(C)C)([H])(OC(CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCCC)=O)COC(CCCCCCCCCCCCCCC)=O
PC(16:0_22:6),[C@](COP(=O)([O-])OCC[N+](C)(C)C)([H])(OC(CCCCCCCCCCCCCCC)=O)COC(CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC)=O
PC(16:1_0:0),[C@](COP(=O)([O-])OCC[N+](C)(C)C)([H])(O)COC(CCCCCCC/C=C/CCCCCC)=O
PC(16:1_16:1);PC(14:0_18:2);PC(14:0_18:2),[C@](COP(=O)([O-])OCC[N+](C)(C)C)([H])(OC(CCCCCCC/C=C\CCCCCC)=O)COC(CCCCCCC/C=C\CCCCCC)=O
PC(16:1_18:2),[C@](COP(=O)([O-])OCC[N+](C)(C)C)([H])(OC(CCCCCCC/C=C\CCCCCC)=O)COC(CCCCCCC/C=C\C/C=C\CCCCC)=O
PC(16:1_20:4),[C@](COP(=O)([O-])OCC[N+](C)(C)C)([H])(OC(CCC/C=C\C/C=C\C/C=C\C/C=C\CCCCC)=O)COC(CCCCC/C=C\CCCCCCCC)=O
PC(16:1_22:6),[C@](COP(=O)([O-])OCC[N+](C)(C)C)([H])(OC(CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC)=O)COC(CCCCC/C=C\CCCCCCCC)=O
PC(17:0_22:6),[C@](COP(=O)([O-])OCC[N+](C)(C)C)([H])(OC(CCCCCCCCCCCCCCCC)=O)COC(CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC)=O
PC(18:0_20:4),[C@](COP(=O)([O-])OCC[N+](C)(C)C)([H])(OC(CCCCCC/C=C\C/C=C\C/C=C\C/C=C\CC)=O)COC(CCCCCCCCCCCCCCCCC)=O
