Name,Count_Ctrl,Count_PE,Mean_Ctrl,Mean_PE,P_value_T_PD_vs_Ctrl,Fold_change_PD_vs_Ctrl,Flag_PD_vs_Ctrl
Cer-(d18:0/24:0),93,46,17.561,17.77704676,0.023148247,0.22061057,1
Cer-(d18:0/24:1),93,46,18.234,18.35188302,0.230509534,0.124851649,0
Cer(d18:1/16:0),93,46,18.052,18.25775838,0.072613775,0.21485321,0
Cer(d18:1/20:0),93,46,19.172,19.33602999,0.023020052,0.165479996,1
Cer(d18:1/22:0),93,46,17.941,18.10187222,0.025519772,0.160684758,1
Cer-(d18:1/23:0),93,46,20.154,20.25045085,0.116037235,0.096432849,0
Cer-(d18:1/24:0),93,46,20.301,20.30372028,0.996847512,0.004234918,0
Cer-(d18:1/24:1),93,46,21.626,21.63855445,0.961683285,0.0129849,0
Cer(d18:1/25:0),93,46,20.767,20.91148032,0.06082311,0.145556569,0
Cer(d18:2/22:0),93,46,18.161,17.95944307,0.012140238,-0.204347464,-1
Cer(d18:2/23:0),93,46,17.588,17.63199725,0.757335506,0.04081226,0
GalCer-(d18:1/22:0),93,46,17.597,17.48027108,0.225085835,-0.121123785,0
GalCer(d18:1/23:0),93,46,20.557,20.47200605,0.347120255,-0.083734011,0
GalCer-(d18:1/24:0),93,46,19.536,19.34315405,0.015713136,-0.190258828,-1
GalCer(d18:1/24:1),93,46,20.117,20.07413452,0.835589311,-0.039584367,0
GalCer-(d18:1/24:1),93,46,20.298,20.18248313,0.216258241,-0.113582758,0
PE(16:0/0:0),93,48,18.796,18.93005565,0.432884432,0.1430188,0
PE(16:0/16:1),93,48,20.332,20.15574278,0.352560601,-0.176673682,0
PE(16:0/18:0),93,48,19.729,19.929996,0.000557627,0.206477999,1
PE(16:0/18:1);PE(16:1/18:0),93,48,19.627,19.60846466,0.9664402,-0.019278644,0
PE(16:0/18:2),93,46,23.656,23.61100073,0.742020911,-0.040364153,0
PE(16:0/18:3),93,48,18.824,18.64579157,0.117581076,-0.171604588,0
PE(16:0/19:1),93,46,18.53,18.60713804,0.387639279,0.083140081,0
PE(16:0/20:2);PE(18:0/18:2),93,46,23.271,23.40175341,0.010346714,0.134034761,1
PE(16:0/20:3),93,48,21.098,20.99766322,0.42545684,-0.095057273,0
PE(16:0/20:4),93,46,23.754,23.72308418,0.825583999,-0.028853101,0
PE(16:0/20:5),93,46,17.226,17.21833489,0.999516029,-0.00316407,0
PE(16:0/22:4),93,46,20.064,19.72586214,0.002479981,-0.337688261,-1
PE(16:0/22:6),93,48,23.846,23.95037516,0.193720076,0.111594075,0
PE(16:1/18:2),93,46,17.095,16.71027786,0.016135343,-0.377936924,-1
PE(16:1/20:4),93,48,16.66,16.30606784,0.00974436,-0.348120359,-1
PE(17:0/18:1);PE(17:1/18:0),93,46,18.53,18.60713804,0.387639279,0.083140081,0
PE(17:0/18:2),93,46,19.01,18.98472317,0.966324338,-0.020786397,0
PE(17:0/20:4),93,46,18.822,18.87605894,0.633121205,0.059011909,0
PE(18:0/0:0),93,46,19.119,19.21245708,0.627559771,0.098623931,0
PE(18:0/18:1),93,48,22.685,22.7721382,0.205219093,0.092798948,0
PE(18:0/20:1);PE(18:1/20:0),93,46,19.992,20.14523862,0.004826638,0.151690604,1
PE(18:0/20:2);PE(18:2/20:0),93,46,21.984,22.13105525,0.006086024,0.150914527,1
PE(18:0/20:3),93,46,21.692,21.69509776,0.991095557,0.008780533,0
PE(18:0/20:4),93,46,21.487,21.74001049,0.000408425,0.255365036,1
PE(18:0/20:5),93,46,21.658,21.41526692,0.030003802,-0.242123936,-1
PE(18:0/22:4);PE(20:0/20:4),93,46,20.273,20.53567496,0.000597968,0.265766406,1
PE(18:0/22:6),93,48,22.713,22.90653131,0.038389655,0.201619653,1
PE(18:1/0:0),93,46,18.54,18.66208873,0.375243811,0.1305682,0
PE(18:1/16:0),93,48,22.897,22.9943884,0.228158609,0.101616416,0
PE(18:1/18:2),93,48,22.503,22.32765695,0.156432007,-0.167836638,0
