Name,Count_Ctrl,Count_PE,Mean_Ctrl,Mean_PE,P_value_T_PD_vs_Ctrl,Fold_change_PD_vs_Ctrl,Flag_PD_vs_Ctrl
Cer+(d18:0/22:0),93,48,16.251,16.316,0.701,0.064,0
Cer+(d18:0/24:0),93,48,16.615,16.63,0.971,0.02,0
Cer+(d18:0/24:1),93,48,16.395,16.591,0.138,0.19,0
Cer+(d18:1/23:0),93,48,17.255,17.132,0.103,-0.135,0
Cer+(d18:1/24:0),93,48,18.721,18.643,0.257,-0.088,0
Cer+(d18:1/24:1),93,48,17.655,17.765,0.361,0.09,0
DG(16:0/18:1),93,48,20.123,20.502,0.003,0.372,1
DG(16:0/18:2),93,48,20.093,20.322,0.067,0.231,0
DG(16:0/18:2);DG(16:1/18:1),93,48,20.093,20.322,0.067,0.231,0
DG(18:0/18:1),93,48,17.651,17.989,0.004,0.332,1
DG(18:0/18:2);DG(18:1/18:1),93,48,20.615,20.974,0.001,0.353,1
DG(18:1/18:1),93,48,20.615,20.974,0.001,0.353,1
DG(18:1/18:2),93,48,21.395,21.588,0.045,0.195,1
DG(18:2/18:2),93,48,19.25,19.406,0.296,0.166,0
DG(18:2/18:2);DG(18:1/18:3),93,48,19.25,19.406,0.296,0.166,0
GalCer+(24:1/d18:1),93,48,16.827,16.692,0.215,-0.16,0
GalCer+(d18:1/22:0),93,48,17.782,17.664,0.143,-0.136,0
GalCer+(d18:1/24:0),93,48,18.276,18.094,0.032,-0.197,-1
GalCer+(d18:1/24:1),93,48,17.725,17.684,0.675,-0.063,0
PC(0:0/14:0),93,48,15.808,15.401,0.008,-0.399,-1
PC(0:0/16:0),93,48,23.453,23.77,0.007,0.304,1
PC(0:0/18:0),93,48,21.654,21.967,0.031,0.293,1
PC(0:0/18:1),93,48,20.673,20.989,0.015,0.301,1
PC(0:0/20:4),93,48,19.202,19.885,0.000232668,0.674,1
PC(14:0/16:0),93,48,20.016,19.835,0.071,-0.184,0
PC(14:0/18:1);PC(16:0/16:1),93,48,22.838,22.654,0.091,-0.199,0
PC(14:0/18:3),93,47,14.291,13.813,0.005,-0.467,-1
PC(14:0/20:4),93,48,18.772,18.314,0.000180392,-0.457,-1
PC(14:0/22:6),93,48,17.196,16.744,0.001,-0.449,-1
PC(15:0/0:0),93,48,16.184,16.15,0.93,-0.038,0
PC(15:0/18:1);PC(16:0/17:1),93,48,20.233,20.191,0.58,-0.054,0
PC(15:0/18:2),93,48,20.912,20.591,1.04E-05,-0.331,-1
PC(15:0/20:3),93,48,18.652,18.428,0.008,-0.231,-1
PC(15:0/20:4),93,48,18.879,18.776,0.471,-0.097,0
PC(15:0/22:6),93,48,17.791,17.678,0.429,-0.119,0
PC(16:0/16:0),93,48,22.777,22.912,0.011,0.126,1
PC(16:0/18:0),93,48,20.434,20.529,0.205,0.083,0
PC(16:0/18:1),93,48,25.898,26.032,0.015,0.121,1
PC(16:0/18:2),93,48,26.668,26.767,0.09,0.087,0
PC(16:0/18:2);PC(16:1/18:1),93,48,26.668,26.767,0.09,0.087,0
PC(16:0/18:3);PC(18:2/16:1),93,48,21.829,21.583,0.003,-0.258,-1
PC(16:0/19:1),93,48,20.375,20.405,0.92,0.018,0
PC(16:0/20:1),93,48,23.896,23.932,0.851,0.024,0
PC(16:0/20:3),93,48,25.164,25.223,0.614,0.048,0
PC(16:0/20:4),93,48,25.635,25.801,0.013,0.16,1
PC(16:0/22:4);PC(18:1/20:3),93,48,22.33,22.154,0.012,-0.186,-1
PC(16:0/22:5);PC(18:1/20:4),93,48,22.627,22.692,0.568,0.057,0
PC(16:0/22:6),93,48,24.369,24.561,0.011,0.184,1
PC(16:0/O-16:0),93,48,20.21,20.227,1,0.001,0
PC(16:1/0:0),93,48,16.7,16.402,0.037,-0.298,-1
PC(16:1/16:1);PC(14:0/18:2);PC(14:0/18:2),93,48,21.014,20.497,3.11E-06,-0.523,-1
PC(16:1/18:2),93,48,21.501,21.168,1.69E-05,-0.341,-1
PC(16:1/20:4),93,48,19.025,18.793,0.019,-0.233,-1
PC(16:1/22:6),93,48,17.456,17.187,0.011,-0.278,-1
